adPrompt,Easy steps to get and pay for a loan:,简单几步，即可完成贷款:,Consigue fácilmente un préstamo:
ads.0.text,Fill up information within 5 mins,Fill up information within 5 mins,Fill up information within 5 mins
ads.0.title,Convenient operation,Convenient operation,Convenient operation
ads.1.text,Verification finished within 2 hours,Verification finished within 2 hours,Verification finished within 2 hours
ads.1.title,Fast Approval,Fast Approval,Fast Approval
ads.2.title,Get the disbursement,Get the disbursement,Get the disbursement
ads.2.text,Disbursement within 24 hours,Disbursement within 24 hours,Disbursement within 24 hours
agreeWithMoneyya,Agree with Moneyya,Agree with Moneyya,de acuerdo con Moneyya
amount-of-payment,Amount of repayment,Amount of repayment,Amount of repayment
authorizaiton,authorizaiton,授权说明,descripción de la autorización
authorizaiton-not-reading,请阅读完,请阅读完,Por favor lea hsta el final.
backCodeValidPrompt,If account information is incorrecctly filled,you will not be able to receive loans.,If account information is incorrecctly filled,you will not be able to receive loans.,If account information is incorrecctly filled,you will not be able to receive loans.
bankCodePrompt,Tips:ReceiptAs and repayments may be affected by bank working,Tips:ReceiptAs and repayments may be affected by bank working,Tips:ReceiptAs and repayments may be affected by bank working
bill-information,Bill information,Bill information,Información de factura
camera.no-permission,camera is not allow permission,camera is not allow permission,La cámara no está permitida
camera.other-error,camera unknown error,camera unknown error,Error desconocido de la cámara
camera.unavailable,camera is unavailable,camera is unavailable,Cámara no disponible
choose-product-prompt,please choose loan terms,请选择贷款期限,por favor elija los términos del préstamo.
copySuccessed,Copy SUccess,复制成功！,Copiado con éxito
currentLoanInfoHint,本次还款申请,本次还款申请,本次还款申请
exceedMaxAmount,Exceed max available loan amont!,超出最大可贷金额,Monto máximo del préstamo excedido
field.long,{{field}} is too long,{{field}} is too long,{{field}} El campo insertado es demasiado largo
field.short,{{field}} is too short,{{field}} is too short,{{field}} El campo insertado es demasiado corto
fillBankCodePrompt,Please fill in bank account information of your own, or loan would fail,Please fill in bank account information of your own, or loan would fail,Ingrese su propia información bancaria
fillingDate,Filling Date,Filling Date,Filling Date
firstPaymentAmount,First repayment amount,第一期还款金额,Monto del reembolso
firstPaymentdate,First repayment date,第一期还款日期,Primera fecha de reembolso
informationConfirmed,Information Confirmed,Information Confirmed,Información confirmada
intlCurrency,${{val}},¥{{val}},Moneda internacional {{val}}
loadMore,Loading More...,加载更多...,Cargando más
loanInfoHint,Loan information,Loan information,Información del préstamo
logoutPrompt,Logout Prompt,退出登录,Solicitud de cierre de sesión
logoutPromptContent,Are you sure to logout?,确定要退出登录吗?,Está seguro de cerrar sesión?
maxAvailableAmount,The maximum amount can be borrowed,The maximum amount can be borrowed,La cantidad máxima que se puede pedir prestada
newVersion,Update to a new Version,发现新版本,Actualizar a una nueva versión
noMessagePrompt,Message list is empty!,消息列表为空,La lista de mensajes está vacía!
noMore,No more new data available,没有更多的数据了,No hay más datos disponibles
notice,Notice,消息,Aviso mensaje nuevo
numberRequired,you must specify a number,必需输入数字,Debe especificar un número
orderNumber,Order Number,订单号,Order Number
otherContact,Other Contact,Other Contact,Otro contacto
overduePrompt,There is one unpaid bill and {day} days overdue,There is one unpaid bill and {day} days overdue,Hay una factura sin pagar y con días de retraso
payment,Payment,还款,Pago/Reembolso
paymentDate,Payment Date,Payment date,Payment Date
paymentNumPrompt,Tasa de Tramitacion,Tasa de Tramitacion,Tasa de tramitación
paymentPrompt1,我们建议您在此页面立即偿还贷款，以免影响您的下次贷款申请。,我们建议您在此页面立即偿还贷款，以免影响您的下次贷款申请。,Le recomendamos que pague inmediatamente el préstamo para no afectar su próxima solicitud de préstamo
